 ,10,100,1000,10000,100000,1000000
Bubble Sort,0.0,0.0009965896606445312,0.06777381896972656,7.022972583770752
Heap Sort,0.0,0.0009970664978027344,0.0,0.0019931793212890625,0.03692817687988281,0.7202270030975342
Insertion Sort,0.0,0.0009968280792236328,0.0358891487121582,3.634842872619629
Heap Sort,0.0,0.0,0.0019927024841308594,0.022943735122680664,0.31494140625,3.873814582824707
Selection Sort,0.0,0.0,0.003986835479736328,0.46584606170654297
Tim Sort,0.0,0.0,0.0,0.0,0.0009965896606445312,0.018552541732788086
Quick Sort,0.0,0.0,0.0,0.0
Shell Sort,0.0,0.0,0.0,0.0,0.12483358383178711,3.2500741481781006
Gnome Sort,0.0,0.0,0.0,0.0,0.012952327728271484,0.2066183090209961
